LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C17399;1.8MΩ (1804) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;expand
C4310;1.5KΩ (1501) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C4360;36KΩ (3602) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17590;270Ω (2700) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C26117;3MΩ (305) ±5%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C15785;560KΩ (5603) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17379;1.2KΩ (1201) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17398;1.8KΩ (1801) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17407;100KΩ (1003) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17408;100Ω (1000) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17415;10Ω (10R0) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17429;11KΩ (1102) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17436;120KΩ (1203) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17437;120Ω (1200) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17444;12KΩ (1202) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17455;13KΩ (1302) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17470;150KΩ (1503) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17471;150Ω (1500) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17475;15KΩ (1502) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17480;15Ω (15R0) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17501;180KΩ (1803) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17506;18KΩ (1802) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17513;1KΩ (1001) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17514;1MΩ (1004) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17520;2.2KΩ (2201) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17521;2.2Ω (2R20) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17526;2.4KΩ (2401) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17530;2.7KΩ (2701) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17539;200KΩ (2003) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
C17540;200Ω (2000) ±1%;Resistors;Chip Resistor - Surface Mount;0805;2;Uniroyal Elec;base
